timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778592445999,13,Sign Out-0,302,Found,Thread Group 1-25,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,13,0,0
1778592446012,26,Sign Out-1,200,OK,Thread Group 1-25,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,26,0,0
1778592446003,37,Sign Out,200,OK,Thread Group 1-1,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,17,0,0
1778592446003,17,Sign Out-0,302,Found,Thread Group 1-1,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,17,0,0
1778592446021,19,Sign Out-1,200,OK,Thread Group 1-1,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,19,0,0
1778592446015,25,Home,200,OK,Thread Group 1-7,text,true,,1351,193,25,25,http://localhost:8080/jpetstore/,25,0,0
1778592446003,40,Reptiles,200,OK,Thread Group 1-10,text,true,,3712,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,40,0,0
1778592446022,22,Sign In,200,OK,Thread Group 1-12,text,true,,3923,649,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,22,0,0
1778592446005,39,Sign Out,200,OK,Thread Group 1-21,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,33,0,0
1778592446005,33,Sign Out-0,302,Found,Thread Group 1-21,,true,,330,646,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,33,0,0
1778592446038,6,Sign Out-1,200,OK,Thread Group 1-21,text,true,,4919,637,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1778592446005,42,Sign Out,200,OK,Thread Group 1-8,text,true,,5249,1283,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,19,0,0
